"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2023","753","565",0.276,0.262,0.014000000000000012,0.478,0.427,0.05099999999999999,0.354,0.333,0.020999999999999963
"Acuña Jr., Ronald","660670","2023","735","562",0.337,0.357,-0.019999999999999962,0.596,0.66,-0.06400000000000006,0.428,0.46,-0.03200000000000003
"Freeman, Freddie","518692","2023","730","521",0.331,0.323,0.008000000000000007,0.567,0.565,0.0020000000000000018,0.411,0.408,0.0030000000000000027
"Lowe, Nathaniel","663993","2023","724","461",0.262,0.263,-0.0010000000000000009,0.414,0.406,0.007999999999999952,0.34,0.339,0.0010000000000000009
"Bregman, Alex","608324","2023","724","537",0.262,0.266,-0.0040000000000000036,0.441,0.43,0.01100000000000001,0.351,0.351,0
"Olson, Matt","621566","2023","720","445",0.283,0.264,0.01899999999999996,0.604,0.558,0.04599999999999993,0.413,0.392,0.020999999999999963
"Schwarber, Kyle","656941","2023","720","373",0.197,0.22,-0.022999999999999993,0.474,0.485,-0.01100000000000001,0.35,0.364,-0.014000000000000012
"Kwan, Steven","680757","2023","718","570",0.268,0.282,-0.013999999999999957,0.37,0.358,0.01200000000000001,0.313,0.317,-0.0040000000000000036
"Riley, Austin","663586","2023","715","475",0.281,0.273,0.008000000000000007,0.516,0.516,0,0.363,0.365,-0.0020000000000000018
"Rodríguez, Julio","677594","2023","714","481",0.275,0.274,0.0010000000000000009,0.485,0.475,0.010000000000000009,0.347,0.345,0.0020000000000000018
"Soto, Juan","665742","2023","708","445",0.275,0.284,-0.008999999999999952,0.519,0.538,-0.019000000000000017,0.395,0.408,-0.012999999999999956
"Suárez, Eugenio","553993","2023","694","395",0.232,0.223,0.009000000000000008,0.391,0.419,-0.02799999999999997,0.313,0.324,-0.01100000000000001
"Witt Jr., Bobby","677951","2023","694","529",0.276,0.294,-0.01799999999999996,0.495,0.533,-0.038000000000000034,0.343,0.369,-0.025999999999999968
"Betts, Mookie","605141","2023","693","482",0.307,0.294,0.013000000000000012,0.579,0.563,0.016000000000000014,0.416,0.407,0.009000000000000008
"Ramírez, José","608070","2023","691","544",0.282,0.299,-0.017000000000000015,0.475,0.48,-0.0050000000000000044,0.346,0.359,-0.013000000000000012
"Happ, Ian","664023","2023","691","433",0.248,0.254,-0.006000000000000005,0.431,0.427,0.0040000000000000036,0.345,0.35,-0.0050000000000000044
"Turner, Trea","607208","2023","691","490",0.266,0.266,0,0.459,0.447,0.01200000000000001,0.333,0.33,0.0030000000000000027
"Hoerner, Nico","663538","2023","688","542",0.283,0.272,0.010999999999999954,0.383,0.355,0.028000000000000025,0.322,0.31,0.01200000000000001
"Rutschman, Adley","668939","2023","687","492",0.277,0.292,-0.014999999999999958,0.435,0.469,-0.033999999999999975,0.352,0.373,-0.02100000000000002
"Goldschmidt, Paul","502671","2023","687","435",0.268,0.271,-0.0030000000000000027,0.447,0.491,-0.043999999999999984,0.35,0.367,-0.017000000000000015
"Lindor, Francisco","596019","2023","687","472",0.254,0.255,-0.0010000000000000009,0.47,0.457,0.012999999999999956,0.346,0.346,0
"Torkelson, Spencer","679529","2023","684","440",0.233,0.253,-0.01999999999999999,0.446,0.487,-0.04099999999999998,0.326,0.352,-0.025999999999999968
"Springer, George","543807","2023","683","491",0.258,0.264,-0.006000000000000005,0.405,0.422,-0.01699999999999996,0.32,0.332,-0.01200000000000001
"Nimmo, Brandon","607043","2023","682","451",0.274,0.265,0.009000000000000008,0.466,0.458,0.008000000000000007,0.359,0.355,0.0040000000000000036
"Guerrero Jr., Vladimir","665489","2023","682","506",0.264,0.295,-0.030999999999999972,0.444,0.498,-0.05399999999999999,0.34,0.375,-0.034999999999999976
"Thomas, Lane","657041","2023","682","459",0.268,0.255,0.013000000000000012,0.468,0.436,0.03200000000000003,0.334,0.319,0.015000000000000013
"Hernández, Teoscar","606192","2023","678","421",0.258,0.258,0,0.435,0.476,-0.04099999999999998,0.317,0.336,-0.019000000000000017
"Tucker, Kyle","663656","2023","674","492",0.284,0.292,-0.008000000000000007,0.517,0.53,-0.013000000000000012,0.372,0.386,-0.014000000000000012
"Torres, Gleyber","650402","2023","672","504",0.273,0.282,-0.008999999999999952,0.453,0.478,-0.024999999999999967,0.346,0.362,-0.016000000000000014
"Castellanos, Nick","592206","2023","671","447",0.272,0.258,0.014000000000000012,0.476,0.443,0.032999999999999974,0.335,0.32,0.015000000000000013
"Steer, Spencer","668715","2023","665","447",0.271,0.252,0.019000000000000017,0.464,0.417,0.04700000000000004,0.355,0.333,0.021999999999999964
"Bogaerts, Xander","593428","2023","665","492",0.285,0.255,0.02999999999999997,0.44,0.401,0.03899999999999998,0.343,0.318,0.025000000000000022
"France, Ty","664034","2023","665","471",0.25,0.27,-0.020000000000000018,0.366,0.42,-0.05399999999999999,0.315,0.342,-0.027000000000000024
"Walker, Christian","572233","2023","661","463",0.258,0.251,0.007000000000000006,0.497,0.46,0.03699999999999998,0.351,0.339,0.011999999999999955
"Albies, Ozzie","645277","2023","660","497",0.28,0.266,0.014000000000000012,0.513,0.467,0.045999999999999985,0.358,0.34,0.01799999999999996
"Alonso, Pete","624413","2023","658","421",0.217,0.246,-0.028999999999999998,0.504,0.527,-0.02300000000000002,0.346,0.368,-0.02200000000000002
"Meneses, Joey","608841","2023","657","484",0.275,0.247,0.028000000000000025,0.401,0.361,0.040000000000000036,0.314,0.288,0.026000000000000023
"Devers, Rafael","646240","2023","656","457",0.271,0.282,-0.010999999999999954,0.5,0.539,-0.039000000000000035,0.359,0.38,-0.02100000000000002
"Santander, Anthony","623993","2023","656","443",0.257,0.237,0.020000000000000018,0.472,0.426,0.045999999999999985,0.34,0.319,0.02100000000000002
"Arozarena, Randy","668227","2023","654","400",0.254,0.243,0.01100000000000001,0.425,0.435,-0.010000000000000009,0.347,0.351,-0.0040000000000000036
"Marte, Ketel","606466","2023","650","465",0.276,0.266,0.010000000000000009,0.485,0.427,0.057999999999999996,0.361,0.342,0.01899999999999996
"McNeil, Jeff","643446","2023","648","526",0.27,0.251,0.019000000000000017,0.378,0.34,0.03799999999999998,0.314,0.294,0.020000000000000018
"Carroll, Corbin","682998","2023","645","450",0.285,0.268,0.01699999999999996,0.506,0.441,0.065,0.37,0.344,0.026000000000000023
"Stott, Bryson","681082","2023","640","494",0.28,0.267,0.013000000000000012,0.419,0.386,0.032999999999999974,0.323,0.309,0.014000000000000012
"Reynolds, Bryan","668804","2023","640","442",0.263,0.28,-0.017000000000000015,0.46,0.49,-0.02999999999999997,0.338,0.36,-0.021999999999999964
"Swanson, Dansby","621020","2023","638","413",0.244,0.255,-0.01100000000000001,0.416,0.458,-0.04200000000000004,0.325,0.345,-0.019999999999999962
"Crawford, J.P.","641487","2023","638","414",0.266,0.26,0.006000000000000005,0.438,0.384,0.05399999999999999,0.359,0.34,0.01899999999999996
"Adames, Willy","642715","2023","638","394",0.217,0.24,-0.022999999999999993,0.407,0.436,-0.029000000000000026,0.311,0.335,-0.02400000000000002
"Tatis Jr., Fernando","665487","2023","635","438",0.257,0.281,-0.02400000000000002,0.449,0.508,-0.059,0.332,0.364,-0.03199999999999997
"Peña, Jeremy","665161","2023","634","450",0.263,0.259,0.0040000000000000036,0.381,0.37,0.01100000000000001,0.31,0.305,0.0050000000000000044
"Yelich, Christian","592885","2023","632","411",0.278,0.279,-0.0010000000000000009,0.447,0.454,-0.007000000000000006,0.353,0.358,-0.0050000000000000044
"García, Adolis","666969","2023","632","386",0.245,0.25,-0.0050000000000000044,0.508,0.526,-0.018000000000000016,0.354,0.366,-0.01200000000000001
"McMahon, Ryan","641857","2023","627","360",0.24,0.245,-0.0050000000000000044,0.431,0.445,-0.014000000000000012,0.325,0.335,-0.010000000000000009
"Kim, Ha-Seong","673490","2023","626","424",0.26,0.245,0.015000000000000013,0.398,0.359,0.039000000000000035,0.33,0.313,0.017000000000000015
"Turner, Justin","457759","2023","626","454",0.276,0.26,0.016000000000000014,0.455,0.444,0.01100000000000001,0.346,0.336,0.009999999999999953
"De La Cruz, Bryan","650559","2023","626","442",0.257,0.273,-0.016000000000000014,0.411,0.445,-0.03400000000000003,0.309,0.331,-0.02200000000000002
"Henderson, Gunnar","683002","2023","622","404",0.255,0.261,-0.006000000000000005,0.489,0.472,0.017000000000000015,0.346,0.346,0
"Benintendi, Andrew","643217","2023","621","477",0.262,0.27,-0.008000000000000007,0.356,0.375,-0.019000000000000017,0.299,0.31,-0.01100000000000001
"Santana, Carlos","467793","2023","619","450",0.24,0.24,0,0.429,0.378,0.05099999999999999,0.323,0.308,0.015000000000000013
"Arraez, Luis","650333","2023","617","544",0.354,0.329,0.024999999999999967,0.469,0.458,0.010999999999999954,0.369,0.354,0.015000000000000013
"Bell, Josh","605137","2023","617","416",0.247,0.263,-0.016000000000000014,0.419,0.457,-0.038000000000000034,0.323,0.345,-0.021999999999999964
"Giménez, Andrés","665926","2023","616","452",0.251,0.245,0.006000000000000005,0.399,0.367,0.03200000000000003,0.309,0.297,0.01200000000000001
"Tovar, Ezequiel","678662","2023","615","420",0.253,0.248,0.0050000000000000044,0.408,0.386,0.021999999999999964,0.298,0.291,0.007000000000000006
"Vaughn, Andrew","683734","2023","615","439",0.258,0.252,0.006000000000000005,0.429,0.427,0.0020000000000000018,0.321,0.319,0.0020000000000000018
"Abrams, CJ","682928","2023","614","451",0.245,0.247,-0.0020000000000000018,0.412,0.399,0.012999999999999956,0.306,0.304,0.0020000000000000018
"Arenado, Nolan","571448","2023","612","467",0.266,0.266,0,0.459,0.435,0.02400000000000002,0.327,0.32,0.007000000000000006
"Contreras, William","661388","2023","611","417",0.289,0.255,0.033999999999999975,0.457,0.433,0.02400000000000002,0.357,0.335,0.021999999999999964
"Bohm, Alec","664761","2023","611","470",0.274,0.29,-0.01599999999999996,0.437,0.453,-0.016000000000000014,0.329,0.343,-0.014000000000000012
"Verdugo, Alex","657077","2023","602","458",0.264,0.278,-0.014000000000000012,0.421,0.417,0.0040000000000000036,0.322,0.331,-0.009000000000000008
"Melendez, MJ","669004","2023","602","367",0.235,0.235,0,0.398,0.432,-0.033999999999999975,0.31,0.325,-0.015000000000000013
"Volpe, Anthony","683011","2023","601","377",0.209,0.23,-0.02100000000000002,0.383,0.392,-0.009000000000000008,0.29,0.305,-0.015000000000000013
"Machado, Manny","592518","2023","601","440",0.258,0.254,0.0040000000000000036,0.462,0.458,0.0040000000000000036,0.334,0.332,0.0020000000000000018
"Bichette, Bo","666182","2023","601","457",0.306,0.312,-0.006000000000000005,0.475,0.502,-0.027000000000000024,0.349,0.363,-0.014000000000000012
"Díaz, Yandy","650490","2023","600","433",0.33,0.305,0.025000000000000022,0.522,0.487,0.03500000000000003,0.402,0.383,0.019000000000000017
"Ohtani, Shohei","660271","2023","599","357",0.304,0.295,0.009000000000000008,0.654,0.638,0.016000000000000014,0.433,0.427,0.006000000000000005
"Robert Jr., Luis","673357","2023","595","376",0.264,0.259,0.0050000000000000044,0.542,0.515,0.027000000000000024,0.358,0.347,0.01100000000000001
